Order ID,Order Date,Delivery Date,Delivery Time,Gender,Age Group,City,Product Category,Discount Rate,Customer Type,Return Status,Weather
ORD1000,2025-04-13,2025-04-16,,Female,21-30,Izmir,Electronics,30.0,New,0,Sunny
ORD1001,2025-04-03,2025-04-05,2.0,Female,31-40,Izmir,Books,0.0,Returning,0,Sunny
ORD1002,2025-03-20,2025-03-27,7.0,Male,18-20,Antalya,Cosmetics,30.0,Returning,0,Rainy
ORD1003,2025-03-13,2025-03-14,1.0,Female,21-30,Bursa,Home,0.0,New,0,Sunny
ORD1004,2025-03-26,2025-03-29,3.0,Female,18-20,,Clothing,20.0,New,0,Sunny
ORD1005,2025-04-13,2025-04-18,5.0,Male,21-30,Istanbul,Clothing,30.0,New,1,Sunny
ORD1006,2025-03-24,2025-03-27,3.0,Female,31-40,Istanbul,Home,10.0,New,0,Sunny
ORD1007,2025-03-28,2025-04-01,4.0,Male,31-40,Ankara,Cosmetics,10.0,Returning,0,Sunny
ORD1008,2025-03-16,2025-03-19,3.0,Female,41-50,Izmir,Cosmetics,30.0,Returning,0,Sunny
ORD1009,2025-03-16,2025-03-20,4.0,Female,21-30,Bursa,Books,30.0,New,1,Sunny
ORD1010,2025-03-29,2025-04-02,4.0,Female,41-50,Antalya,Books,30.0,Returning,0,Sunny
ORD1011,2025-04-10,2025-04-16,6.0,Male,41-50,Antalya,Electronics,10.0,New,1,Sunny
ORD1012,2025-04-14,2025-04-16,2.0,Female,31-40,Bursa,Clothing,,Returning,0,Sunny
ORD1013,2025-03-29,2025-04-04,6.0,Male,51-60,Ankara,Books,30.0,Returning,0,Sunny
ORD1014,2025-03-08,2025-03-11,3.0,Female,51-60,Antalya,Cosmetics,,Returning,0,Sunny
ORD1015,2025-03-27,2025-04-02,6.0,Male,21-30,Izmir,Home,30.0,New,1,Rainy
ORD1016,2025-03-07,2025-03-08,1.0,Female,21-30,Ankara,Cosmetics,0.0,Returning,0,Sunny
ORD1017,2025-03-29,2025-04-03,5.0,Male,51-60,Izmir,Clothing,30.0,New,1,Sunny
ORD1018,2025-04-04,2025-04-08,4.0,Female,41-50,Istanbul,Cosmetics,30.0,New,1,Sunny
ORD1019,2025-04-12,2025-04-16,4.0,Female,18-20,Ankara,Electronics,30.0,New,1,Rainy
ORD1020,2025-03-07,2025-03-12,5.0,Female,41-50,Antalya,Clothing,30.0,New,1,Rainy
ORD1021,2025-03-26,2025-03-28,2.0,Female,41-50,Ankara,Home,0.0,Returning,0,Sunny
ORD1022,2025-04-07,2025-04-08,1.0,Female,41-50,Ankara,Electronics,0.0,Returning,0,Sunny
ORD1023,2025-03-17,2025-03-20,3.0,Female,41-50,Ankara,Clothing,30.0,New,0,Rainy
ORD1024,2025-03-27,2025-04-01,5.0,Male,41-50,Ankara,Home,0.0,Returning,0,Sunny
ORD1025,2025-03-30,2025-04-02,3.0,Female,21-30,Izmir,Electronics,30.0,Returning,0,Sunny
ORD1026,2025-04-01,2025-04-06,5.0,Male,21-30,,Electronics,10.0,Returning,0,Sunny
ORD1027,2025-04-02,2025-04-07,5.0,Male,31-40,Bursa,Clothing,10.0,Returning,0,Sunny
ORD1028,2025-03-21,2025-03-25,4.0,Female,51-60,Ankara,Books,30.0,Returning,0,Rainy
